marca,modelo,año,kilometraje_km,potencia_cv,combustible,transmision,etiqueta_ambiental,tipo_venta,precio_eur,provincia,url,antiguedad,km_por_año,fecha_scraping
Citroen,C3 BlueHDi SS LIVE,2018,169000,99,Diésel,Manual,C,Usado,7750.0,Madrid,https://www.coches.net/citroen-c3-bluehdi-73kw-100cv-ss-live-5p-diesel-2018-en-madrid-61479648-covo.aspx,8,21125,2026-05-08
Volkswagen,Taigo Life 1.0 TSI DSG,2023,75715,110,Gasolina,Automática,C,Usado,17990.0,Valencia,https://www.coches.net/volkswagen-taigo-life-10-tsi-81kw-110cv-dsg-5p-gasolina-2023-en-valencia-61672254-covo.aspx,3,25238,2026-05-08
Bmw,ix2 eDrive20,2025,15000,204,Eléctrico,Automática,Sin etiqueta,Usado,48900.0,Lugo,https://www.coches.net/bmw-ix2-edrive20-5p-electrico-hibrido-2025-en-lugo-61684403-covo.aspx,1,15000,2026-05-08
Toyota,C-HR 1.8 140H Active,2024,60968,140,Híbrido,Manual,ECO,Usado,24990.0,Sta. C. Tenerife,https://www.coches.net/toyota-c-hr-18-140h-active-5p-electrico-hibrido-2024-en-sta-c-tenerife-61709969-covo.aspx,2,30484,2026-05-08
Seat,Arona 1.0 TSI StartStop Style,2025,5027,115,Gasolina,Manual,C,Usado,18800.0,Valencia,https://www.coches.net/seat-arona-10-tsi-85kw-115cv-startstop-style-5p-gasolina-2026-en-valencia-61735008-covo.aspx,1,5027,2026-05-08
Bmw,Serie 3 330e,2016,230000,252,Híbrido Enchufable,Manual,0_EMISIONES,Usado,13999.0,Alicante,https://www.coches.net/bmw-serie-3-330e-4p-electrico-hibrido-2017-en-alicante-61751166-covo.aspx,10,23000,2026-05-08
Skoda,Kodiaq 1.5 TSI 4x2 Active,2020,114988,150,Gasolina,Manual,C,Usado,22990.0,Bizkaia,https://www.coches.net/skoda-kodiaq-15-tsi-110kw-150cv-4x2-active-5p-gasolina-2020-en-vizcaya-61753950-covo.aspx,6,19165,2026-05-08
Suzuki,S-Cross 1.4T S3 Mild Hybrid Auto,2023,106000,129,Híbrido,Manual,ECO,Usado,18990.0,Bizkaia,https://www.coches.net/suzuki-s-cross-14t-s3-mild-hybrid-auto-5p-electrico-hibrido-2022-en-vizcaya-61767386-covo.aspx,3,35333,2026-05-08
Kia,Carens 1.7 CRDi VGT Emotion EcoD 7pl 16,2015,166000,141,Diésel,Manual,C,Usado,10999.0,Alicante,https://www.coches.net/kia-carens-17-crdi-vgt-141cv-emotion-ecod-7pl-16-5p-diesel-2016-en-alicante-61769948-covo.aspx,11,15091,2026-05-08
Ford,C-Max 1.6Ti VCT Trend,2012,129000,125,Gasolina,Manual,C,Usado,7999.0,Alicante,https://www.coches.net/ford-c-max-16ti-vct-125cv-trend-5p-gasolina-2012-en-alicante-61774679-covo.aspx,14,9214,2026-05-08
Toyota,Hilux 2.4 D4D Cabina Extra GX,2019,153000,150,Diésel,Manual,C,Usado,27490.0,Bizkaia,https://www.coches.net/toyota-hilux-24-d4d-cabina-extra-gx-2p-diesel-2019-en-vizcaya-61778851-covo.aspx,7,21857,2026-05-08
Bmw,Serie 1 118i,2023,81000,136,Gasolina,Manual,C,Usado,25500.0,Pontevedra,https://www.coches.net/bmw-serie-1-118i-5p-gasolina-2023-en-pontevedra-61797205-covo.aspx,3,27000,2026-05-08
Seat,Arona 1.5 TSI DSG FR XM,2023,46000,150,Gasolina,Automática,C,Usado,21990.0,Murcia,https://www.coches.net/seat-arona-15-tsi-110kw-150cv-dsg-fr-xm-5p-gasolina-2024-en-murcia-61806498-covo.aspx,3,15333,2026-05-08
Volvo,V90 Cross Country 2.0 B4 D Pro AWD Auto,2021,119000,197,Híbrido,Manual,ECO,Usado,29990.0,Murcia,https://www.coches.net/volvo-v90-cross-country-20-b4-d-pro-awd-auto-5p-electrico-hibrido-2022-en-murcia-61827194-covo.aspx,5,23800,2026-05-08
Renault,Espace Iconic ETech full hybrid,2023,34430,200,Híbrido,Manual,ECO,Usado,32088.0,Barcelona,https://www.coches.net/renault-espace-iconic-etech-full-hybrid-146kw-5p-electrico-hibrido-2023-en-barcelona-61835977-covo.aspx,3,11477,2026-05-08
Renault,Mégane S.T. Business Blue dCi 18,2019,162000,115,Diésel,Manual,C,Usado,11490.0,Bizkaia,https://www.coches.net/renault-megane-st-business-blue-dci-85kw-115cv--18-5p-diesel-2018-en-vizcaya-61844349-covo.aspx,7,23143,2026-05-08
Jeep,Renegade eHybrid 1.5 96kW130CV Limited ATX,2023,90000,130,Híbrido,Manual,ECO,Usado,19490.0,Bizkaia,https://www.coches.net/jeep-renegade-ehybrid-15-96kw130cv-limited-atx-5p-electrico-hibrido-2023-en-vizcaya-61844351-covo.aspx,3,30000,2026-05-08
Suzuki,Vitara 1.4 T GLE 4WD Mild Hybrid,2023,107400,129,Híbrido,Manual,ECO,Usado,18990.0,Bizkaia,https://www.coches.net/suzuki-vitara-14-t-gle-4wd-mild-hybrid-5p-electrico-hibrido-2022-en-vizcaya-61861391-covo.aspx,3,35800,2026-05-08
Volkswagen,Beetle Design 2.0 TDI DSG BMT,2016,120000,150,Diésel,Automática,C,Usado,13990.0,Murcia,https://www.coches.net/volkswagen-beetle-design-20-tdi-110kw-dsg-bmt-3p-diesel-2017-en-murcia-61865685-covo.aspx,10,12000,2026-05-08
Nissan,Townstar 5 plazas 1.3G L1 Acenta,2023,5922,130,Gasolina,Manual,C,Usado,21990.0,Sevilla,https://www.coches.net/nissan-townstar-5-plazas-13g-96kw-l1-acenta-5p-gasolina-2022-en-sevilla-61872877-covo.aspx,3,1974,2026-05-08
Skoda,Karoq 2.0 TDI DSG 4X4 Style,2022,145000,150,Diésel,Automática,C,Usado,22990.0,Murcia,https://www.coches.net/skoda-karoq-20-tdi-110kw-150cv-dsg-4x4-style-5p-diesel-2023-en-murcia-61893999-covo.aspx,4,36250,2026-05-08
Volkswagen,T-Cross Advance 1.0 TSI DSG,2021,79000,110,Gasolina,Automática,C,Usado,19990.0,Murcia,https://www.coches.net/volkswagen-t-cross-advance-10-tsi-81kw-110cv-dsg-5p-gasolina-2022-en-murcia-61894003-covo.aspx,5,15800,2026-05-08
Seat,Alhambra 1.4 TSI DSG StSp Style GO,2022,133900,150,Gasolina,Automática,C,Usado,20990.0,Bizkaia,https://www.coches.net/seat-alhambra-14-tsi-110kw-dsg-stsp-style-go-5p-gasolina-2022-en-vizcaya-61943007-covo.aspx,4,33475,2026-05-08
Mercedes-Benz,Clase A A 180 CDI Avantgarde,2007,168000,109,Diésel,Manual,B,Usado,6490.0,Barcelona,https://www.coches.net/mercedes-benz-clase-a-a-180-cdi-avantgarde-5p-diesel-2006-en-barcelona-62138030-covo.aspx,19,8842,2026-05-08
Bmw,X2 sDrive18i,2020,63000,140,Gasolina,Manual,C,Usado,24990.0,Bizkaia,https://www.coches.net/bmw-x2-sdrive18i-5p-gasolina-2020-en-vizcaya-62151794-covo.aspx,6,10500,2026-05-08
