marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Mini,Mini MINI,2018,86400.0,Gasolina,136.0,Manual,14990,Usado,C
Renault,Renault Kadjar,2018,95877.0,Diésel,130.0,Manual,19500,Usado,C
Toyota,Toyota Yaris,2021,22594.0,Híbrido,116.0,Automática,22490,Usado,ECO
Fiat,Fiat 500X,2016,73745.0,Diésel,120.0,Manual,13400,Usado,C
Dacia,Dacia Dokker,2020,125924.0,Glp,109.0,Manual,13990,Usado,ECO
Volkswagen,Volkswagen Golf,2020,86116.0,Gasolina,130.0,Manual,18500,Usado,C
Renault,Renault Mégane,2014,48462.0,Gasolina,115.0,Manual,10390,Usado,C
Volkswagen,Volkswagen Polo,2018,87654.0,Gasolina,95.0,Manual,13190,Usado,C
Dacia,Dacia Sandero,2019,29214.0,Gasolina,90.0,Manual,12390,Usado,C
Nissan,Nissan JUKE,2016,105569.0,Diésel,110.0,Manual,13390,Usado,C
Volkswagen,Volkswagen Sharan,2018,124017.0,Diésel,150.0,Automática,30900,Usado,C
Renault,Renault Captur,2018,86500.0,Gasolina,120.0,Automática,14500,Usado,C
Toyota,Toyota C-HR,2022,35125.0,Híbrido,122.0,Automática,20495,Usado,ECO
Peugeot,Peugeot 207,2006,99395.0,Gasolina,75.0,Manual,4450,Usado,C
Renault,Renault Clio,2017,125712.0,Gasolina,120.0,Manual,12450,Usado,C
Hyundai,Hyundai i10,2010,71452.0,Gasolina,78.0,Manual,6300,Usado,C
Kia,KIA Ceed Tourer,2021,42508.0,Gasolina,120.0,Manual,15900,Usado,C
Fiat,Fiat 500,2019,24001.0,Gasolina,69.0,Automática,14350,Usado,C
Volvo,Volvo S40,2006,178357.0,Gasolina,100.0,Manual,3500,Usado,C
Toyota,Toyota Rav4,2015,97431.0,Diésel,143.0,Manual,20490,Usado,C
Hyundai,Hyundai i20,2016,34946.0,Gasolina,85.0,Manual,11250,Usado,C
Cupra,Cupra Formentor,2023,5732.0,Gasolina,390.0,Automática,57900,Usado,C
Citroën,Citroën C8,2008,206597.0,Diésel,120.0,Manual,2900,Usado,B
Citroën,Citroën Grand C4 Picasso,2016,96050.0,Diésel,120.0,Manual,15500,Usado,C
Ford,Ford Transit Custom,2022,95064.0,Híbrido,130.0,Manual,21950,Usado,ECO
Peugeot,Peugeot 508,2011,157772.0,Diésel,163.0,Manual,9500,Usado,B
Kia,KIA Sportage,2022,30101.0,Híbrido,150.0,Manual,26500,Usado,ECO
Honda,Honda Civic,2016,100444.0,Gasolina,310.0,Manual,29890,Usado,C
Ford,Ford Tourneo Courier,2017,149677.0,Gasolina,100.0,Manual,12500,Usado,C
Nissan,Nissan X-TRAIL,2018,112876.0,Diésel,130.0,Manual,19990,Usado,C
Ford,Ford Kuga,2019,114680.0,Diésel,120.0,Manual,16300,Usado,C
Mercedes,Mercedes EQB,2021,58492.0,Eléctrico,228.0,Automática,44500,Usado,0_EMISIONES
Cupra,Cupra Formentor,2021,48520.0,Gasolina,150.0,Automática,28490,Usado,C
Renault,Renault Arkana,2021,91563.0,Híbrido,140.0,Automática,20900,Usado,ECO
Seat,Seat Arona,2019,57662.0,Gasolina,115.0,Manual,16200,Usado,C
Volkswagen,Volkswagen Tiguan,2019,148150.0,Diésel,240.0,Automática,24338,Usado,C
